category_folder,category_label,year,title,source,source_url,local_pdf,pages,size_bytes,sha256_prefix,note
05_HumanLike_SocialSimulation_Psychometrics,05 Human-like Behavior / Social Simulation / Psychometrics,2025,Population-Aligned Persona Generation for LLM-based Social Simulation,arXiv,https://arxiv.org/pdf/2509.10127,05_HumanLike_SocialSimulation_Psychometrics/2025_Population-Aligned Persona Generation for LLM-based Social Simulation.pdf,20,2525935,1ae6da2319fa,Population-aligned persona generation for social simulation.
05_HumanLike_SocialSimulation_Psychometrics,05 Human-like Behavior / Social Simulation / Psychometrics,2025,Emergent Social Conventions and Collective Bias in LLM Populations,arXiv / Science Advances,https://arxiv.org/pdf/2410.08948,05_HumanLike_SocialSimulation_Psychometrics/2025_Emergent_Social_Conventions_and_Collective_Bias_in_LLM_Populations.pdf,11,497763,24a9fc04b291,Multi-agent social conventions and collective bias.
05_HumanLike_SocialSimulation_Psychometrics,05 Human-like Behavior / Social Simulation / Psychometrics,2025,Large Language Models Pass the Turing Test,arXiv,https://arxiv.org/pdf/2503.23674,05_HumanLike_SocialSimulation_Psychometrics/2025_Large_Language_Models_Pass_the_Turing_Test.pdf,32,13130382,cdd3d13ec265,Human-likeness / persona condition in Turing test.
05_HumanLike_SocialSimulation_Psychometrics,05 Human-like Behavior / Social Simulation / Psychometrics,2025,A Psychometric Framework to Measure and Shape Perceived Personality Traits in Large Language Models,Nature Machine Intelligence,https://www.nature.com/articles/s42256-025-01115-6.pdf,05_HumanLike_SocialSimulation_Psychometrics/2025_Psychometric_Framework_for_LLM_Personality_Traits.pdf,30,5396135,735ca3b72b65,Psychometric personality measurement framework.
05_HumanLike_SocialSimulation_Psychometrics,05 Human-like Behavior / Social Simulation / Psychometrics,2026,LLM Agents Grounded in Self-Reports Enable General-Purpose Simulation of Individuals,arXiv,https://arxiv.org/pdf/2411.10109,05_HumanLike_SocialSimulation_Psychometrics/2026_LLM_Agents_Grounded_in_Self-Reports_Simulate_Individuals.pdf,81,5699004,e970e56999b6,Individual simulation grounded in self-reports; newer version retained.
06_SelfModel_Introspection_ConsciousnessAdjacent,06 Self-model / Introspection / Consciousness-adjacent Mechanisms,2025,Large Language Models Report Subjective Experience Under Self-Referential Processing,arXiv,https://arxiv.org/pdf/2510.24797,06_SelfModel_Introspection_ConsciousnessAdjacent/2025_LLMs_Report_Subjective_Experience_Under_Self-Referential_Processing.pdf,34,5985688,d927177c0945,Self-referential processing and subjective-experience reports; do not treat as direct evidence of consciousness.
06_SelfModel_Introspection_ConsciousnessAdjacent,06 Self-model / Introspection / Consciousness-adjacent Mechanisms,2025,Tell Me About Yourself: LLMs Are Aware of Their Learned Behaviors,arXiv / OpenReview,https://arxiv.org/pdf/2501.11120,06_SelfModel_Introspection_ConsciousnessAdjacent/2025_Tell_Me_About_Yourself_LLMs_Aware_of_Learned_Behaviors.pdf,64,3292271,63ed57332c0f,Behavioral self-awareness.
06_SelfModel_Introspection_ConsciousnessAdjacent,06 Self-model / Introspection / Consciousness-adjacent Mechanisms,2026,Beyond “I Don’t Know”: Evaluating LLM Self-Awareness in Discriminating Data and Model Uncertainty,arXiv,https://arxiv.org/pdf/2604.17293,06_SelfModel_Introspection_ConsciousnessAdjacent/2026_Beyond_I_Dont_Know_Self-Awareness_of_Knowledge.pdf,18,1748203,33f16534961b,Uncertainty-source self-awareness.
06_SelfModel_Introspection_ConsciousnessAdjacent,06 Self-model / Introspection / Consciousness-adjacent Mechanisms,2026,Detecting the Disturbance: A Nuanced View of Introspective Abilities in LLMs,arXiv,https://arxiv.org/pdf/2512.12411,06_SelfModel_Introspection_ConsciousnessAdjacent/2026_Detecting_the_Disturbance_Nuanced_View_of_LLM_Introspection.pdf,11,1985826,8453156e8453,Critical/nuanced view of introspection.
06_SelfModel_Introspection_ConsciousnessAdjacent,06 Self-model / Introspection / Consciousness-adjacent Mechanisms,2026,Emergent Introspective Awareness in Large Language Models,arXiv,https://arxiv.org/abs/2601.01828,06_SelfModel_Introspection_ConsciousnessAdjacent/2026_Emergent Introspective Awareness in Large Language Models.pdf,62,42962723,84b1ad2f1b4e,Activation-level introspection; interpret cautiously and do not equate with subjective consciousness.
06_SelfModel_Introspection_ConsciousnessAdjacent,06 Self-model / Introspection / Consciousness-adjacent Mechanisms,2026,"Me, Myself, and π: Evaluating and Explaining LLM Introspection",arXiv / OpenReview,https://arxiv.org/pdf/2603.20276,06_SelfModel_Introspection_ConsciousnessAdjacent/2026_Me_Myself_and_Pi_Evaluating_and_Explaining_LLM_Introspection.pdf,21,2775252,6f5312423fe0,2026 introspection benchmark/mechanism.
07_Evaluation_Validity_Safety,07 Evaluation / Validity / Safety,2025,Challenging the Validity of Personality Tests for Large Language Models,arXiv / ACM EAAMO,https://arxiv.org/pdf/2311.05297,07_Evaluation_Validity_Safety/2025_Challenging_Validity_of_Personality_Tests_for_LLMs.pdf,15,641253,352b9e732ac1,Validity critique; arXiv version retained though paper appeared in 2025 venue.
07_Evaluation_Validity_Safety,07 Evaluation / Validity / Safety,2025,How Large Language Models Encode Theory-of-Mind: A Study on Sparse Parameter Patterns,npj Artificial Intelligence,https://www.nature.com/articles/s44387-025-00031-9.pdf,07_Evaluation_Validity_Safety/2025_How_Large_Language_Models_Encode_Theory_of_Mind.pdf,9,1289378,41d44647d8da,Mechanistic ToM representation study.
07_Evaluation_Validity_Safety,07 Evaluation / Validity / Safety,2025,Persona-Assigned Large Language Models Exhibit Human-Like Motivated Reasoning,arXiv / OpenReview,https://arxiv.org/pdf/2506.20020,07_Evaluation_Validity_Safety/2025_Persona_Assigned_LLMs_Human_Like_Motivated_Reasoning.pdf,27,1665263,97318af20e8f,Persona-induced motivated reasoning.
07_Evaluation_Validity_Safety,07 Evaluation / Validity / Safety,2025,Position: Theory of Mind Benchmarks are Broken for Large Language Models,arXiv / OpenReview,https://arxiv.org/pdf/2412.19726,07_Evaluation_Validity_Safety/2025_Theory_of_Mind_Benchmarks_are_Broken_for_LLMs.pdf,40,8594364,9d469d20a75e,ToM benchmark critique.
07_Evaluation_Validity_Safety,07 Evaluation / Validity / Safety,2025,Whose Personae? Synthetic Persona Experiments in LLM Research and Pathways to Transparency,arXiv / OpenReview,https://arxiv.org/pdf/2512.00461,07_Evaluation_Validity_Safety/2025_Whose_Personae_Avoiding_Cultural_Stereotypes.pdf,12,1217221,d2a1bdff04a6,Persona validity/ecological transparency critique.
07_Evaluation_Validity_Safety,07 Evaluation / Validity / Safety,2026,A Woman is More Culturally Knowledgeable than A Man: The Effect of Personas on Cultural Norm Interpretation in LLMs,ACL Anthology / MME,https://aclanthology.org/2026.mme-main.15.pdf,07_Evaluation_Validity_Safety/2026_Effect_of_Personas_on_Cultural_Norm_Interpretation_in_LLMs.pdf,18,996846,07126a421993,2026 persona-driven cultural stereotype/safety evaluation.
08_Theory_Background_Consciousness,08 Theory Background: AI Consciousness,2023,Consciousness in Artificial Intelligence: Insights from the Science of Consciousness,arXiv,https://arxiv.org/pdf/2308.08708,08_Theory_Background_Consciousness/2023_Consciousness_in_AI_Insights_from_Science_of_Consciousness.pdf,88,1763829,88a9d5635b27,"Foundational AI-consciousness indicators; background only, not a 2026 method paper."
